SKU,Ranking (Popularity),Name,Platform,Year,Genre,Publisher,Price
76096,1,Wii Sports,Wii,2006,Sports,Nintendo,28.18
5954,2,Super Mario Bros.,NES,1985,Platform,Nintendo,56.05
66091,3,Mario Kart Wii,Wii,2008,Racing,Nintendo,41.83
47169,4,Wii Sports Resort,Wii,2009,Sports,Nintendo,82.41
71653,5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,75.22
60394,6,Tetris,GB,1989,Puzzle,Nintendo,37.04
59647,7,New Super Mario Bros.,DS,2006,Platform,Nintendo,28.52
73622,8,Wii Play,Wii,2006,Misc,Nintendo,59.35
51919,9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,77.34
85748,10,Duck Hunt,NES,1984,Shooter,Nintendo,45.47
44339,11,Nintendogs,DS,2005,Simulation,Nintendo,44.66
15511,12,Mario Kart DS,DS,2005,Racing,Nintendo,87.57
70533,13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,95.99
19802,14,Wii Fit,Wii,2007,Sports,Nintendo,66.38
71424,15,Wii Fit Plus,Wii,2009,Sports,Nintendo,44.36
19309,16,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,34.24
46735,17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,80.8
31222,18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,39.35
15668,19,Super Mario World,SNES,1990,Platform,Nintendo,28.33
88099,20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,84.99
13586,21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,68.23
74039,22,Super Mario Land,GB,1989,Platform,Nintendo,37.14
15603,23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,73.49
76963,24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,41.33
78845,25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,60.12
43219,26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,61.34
74738,27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,86.05
53228,28,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,21.57
24157,29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,83.61
9527,30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,48.44
73748,31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,89.24
62733,32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,89.06
27438,33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,24.76
1937,34,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,48.35
21174,35,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,47.63
18017,36,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,71.28
3192,37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,29.3
42832,38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,29.59
81615,39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,36.16
12687,40,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,97.23
84377,41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,93.74
49255,42,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,67.43
51487,43,Mario Kart 7,3DS,2011,Racing,Nintendo,72.11
50087,44,Halo 3,X360,2007,Shooter,Microsoft Game Studios,57.1
20630,45,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,98.3
41405,46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,92.09
25352,47,Super Mario 64,N64,1996,Platform,Nintendo,63.73
72293,48,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,41.23
61401,49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,43.14
42998,50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,94.61
6971,51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,70.51
37543,52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,80.26
78718,53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,76.11
71261,54,Super Mario 3D Land,3DS,2011,Platform,Nintendo,62.07
62791,55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,91.99
70339,56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,33.89
32369,57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,26.83
68475,58,Super Mario All-Stars,SNES,1993,Platform,Nintendo,49.76
50348,59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,69.15
7526,60,Super Mario 64,DS,2004,Platform,Nintendo,37.36
26675,61,Just Dance 3,Wii,2011,Misc,Ubisoft,75.05
79887,62,Call of Duty: Ghosts,X360,2013,Shooter,Activision,95.78
